# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Users\Danilo Souza\Downloads\Projeto SD Ok 4-20230215T131645Z-001\Projeto SD Ok 5 SELETOR\ProjetoCompletoPIN2.csv
# Generated on: Wed Feb 15 11:13:48 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
A[4],Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
A[3],Input,PIN_Y24,5,B5_N2,PIN_Y24,2.5 V,,,,,
A[2],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
A[1],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
A[0],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
aA,Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
aB,Output,PIN_AB16,4,B4_N2,PIN_AB16,2.5 V,,,,,
aB2,Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
aC,Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
aC2,Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
aD,Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
aE,Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
aF,Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
aG,Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
Aout[4],Output,PIN_H25,6,B6_N1,PIN_H25,2.5 V,,,,,
Aout[3],Output,PIN_G16,7,B7_N2,PIN_G16,2.5 V,,,,,
Aout[2],Output,PIN_G15,7,B7_N2,PIN_G15,2.5 V,,,,,
Aout[1],Output,PIN_F15,7,B7_N2,PIN_F15,2.5 V,,,,,
Aout[0],Output,PIN_H17,7,B7_N2,PIN_H17,2.5 V,,,,,
B[4],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
B[3],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
B[2],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
B[1],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
B[0],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
bA,Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
bB,Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
bB2,Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
bC,Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
bC2,Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
bD,Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
bE,Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
bF,Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
bG,Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
Bout[4],Output,PIN_J16,7,B7_N2,PIN_J16,2.5 V,,,,,
Bout[3],Output,PIN_H16,7,B7_N2,PIN_H16,2.5 V,,,,,
Bout[2],Output,PIN_J15,7,B7_N2,PIN_J15,2.5 V,,,,,
Bout[1],Output,PIN_G17,7,B7_N1,PIN_G17,2.5 V,,,,,
Bout[0],Output,PIN_J17,7,B7_N2,PIN_J17,2.5 V,,,,,
dirA,Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
dirB,Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
dirC,Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
dirD,Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
dirE,Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
dirF,Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
dirG,Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
esqA,Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
esqB,Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
esqC,Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
esqD,Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
esqE,Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
esqG,Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
F[4],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
F[3],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
F[2],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
F[1],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
F[0],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
S[0],Input,PIN_AB28,5,B5_N1,PIN_E25,,,,,,
S[1],Input,PIN_AC28,5,B5_N2,PIN_C24,,,,,,
S[2],Input,PIN_AC27,5,B5_N2,PIN_C25,,,,,,
S0Out,Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
S1Out,Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
S2Out,Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
Sinal,Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
sinal_a,Output,PIN_E24,7,B7_N1,PIN_E24,2.5 V,,,,,
sinal_b,Output,PIN_E22,7,B7_N0,PIN_E22,2.5 V,,,,,
STATUS,Output,PIN_G22,7,B7_N2,PIN_G22,2.5 V,,,,,
